scenario,controller,planner,predicate_set,perception,seed,cycles,mean_pdr,p05_pdr,violation_rate_phi,hazard_rate,recovery_cycles,fallback_rate,repair_rate,mean_power_dbm,max_pa_temp_c,mean_reward,h_rf,h_pwr,h_relay,h_part,h_starve,h_therm
narrowband,structured,naive,phi,radioml,19,300,0.9809133325804001,0.9387730498384261,0.0,0.9566666666666667,1,0.0,0.0,30.0,56.38888888888888,0.02424666591373338,0.0,0.15333333333333332,0.0,0.0,0.0,0.9566666666666667
narrowband,structured,naive,phi,radioml,20,300,0.9817980307011969,0.9381062051946746,0.0,0.9566666666666667,1,0.0,0.0,30.0,56.38888888888888,0.02513136403453016,0.0,0.15,0.0,0.0,0.0,0.9566666666666667
narrowband,structured,naive,phi,radioml,21,300,0.9809104396140657,0.9379413838048385,0.0,0.9566666666666667,1,0.0,0.0,30.0,56.38888888888888,0.024243772947399045,0.0,0.10666666666666667,0.0,0.0,0.0,0.9566666666666667
narrowband,structured,naive,phi,radioml,22,300,0.9824574639610906,0.9518600356836945,0.0,0.9566666666666667,1,0.0,0.0,30.0,56.38888888888888,0.025790797294424028,0.0,0.22,0.0,0.0,0.0,0.9566666666666667
narrowband,structured,naive,phi,radioml,23,300,0.9813424763320726,0.9492323605211463,0.0,0.9566666666666667,1,0.0,0.0,30.0,56.38888888888888,0.02467580966540592,0.0,0.15666666666666668,0.0,0.0,0.0,0.9566666666666667
narrowband,structured,naive,phi,radioml,24,300,0.9807029483039397,0.9332337671893822,0.0,0.9566666666666667,2,0.0,0.0,30.0,56.38888888888888,0.024036281637272974,0.0,0.21333333333333335,0.0,0.0,0.0,0.9566666666666667
narrowband,structured,naive,phi,radioml,25,300,0.9822766141413134,0.9425303622429374,0.0,0.9566666666666667,1,0.0,0.0,30.0,56.38888888888888,0.02560994747464658,0.0,0.22666666666666666,0.0,0.0,0.0,0.9566666666666667
narrowband,structured,naive,phi,radioml,26,300,0.9816707857558199,0.9481056474139004,0.0,0.9566666666666667,1,0.0,0.0,30.0,56.38888888888888,0.02500411908915317,0.0,0.11666666666666667,0.0,0.0,0.0,0.9566666666666667
narrowband,structured,naive,phi,radioml,27,300,0.9813482173933111,0.944462807889186,0.0,0.9566666666666667,1,0.0,0.0,30.0,56.38888888888888,0.024681550726644592,0.0,0.22,0.0,0.0,0.0,0.9566666666666667
narrowband,structured,naive,phi,radioml,28,300,0.9802078097466085,0.9398935165487167,0.0,0.9566666666666667,1,0.0,0.0,30.0,56.38888888888888,0.023541143079941936,0.0,0.11,0.0,0.0,0.0,0.9566666666666667
narrowband,structured,naive,phi,radioml,29,300,0.9811963751717682,0.9398011028167219,0.0,0.9566666666666667,1,0.0,0.0,30.0,56.38888888888888,0.0245297085051014,0.0,0.14333333333333334,0.0,0.0,0.0,0.9566666666666667
