mcs,snr,pdr,n
5,8,0.9361510791366906,417
5,9,0.9647537091988131,1348
5,10,0.9902755501959603,6634
5,11,0.9960870327743067,18246
5,12,0.9928198119122258,7975
5,13,0.9964158369450626,8537
5,14,0.9989091248785592,26762
5,15,0.9996257745076343,36152
5,16,0.9996966353753347,30999
5,17,0.999558892981959,21174
5,18,0.9993948904006046,33075
5,19,0.9996696370636329,23117
5,20,0.9997246469833119,12464
5,21,1.0,1883
6,-6,1.0,266
6,6,0.878348623853211,109
6,7,0.8697647058823529,85
6,8,0.9157161716171617,303
6,9,0.9537690941385435,1689
6,10,0.9797560861859901,10721
6,11,0.9905688279230923,35211
6,12,0.9837737267430934,21284
6,13,0.9851123681288173,14408
6,14,0.9933866027809094,21288
6,15,0.9977752593318632,24486
6,16,0.9990913972602741,18250
6,17,0.9983350774526678,14525
6,18,0.9981732591029496,22273
6,19,0.9986320523891767,13896
6,20,0.9988766554141781,7702
6,21,1.0,1234
7,-6,1.0,158
7,6,0.8511538461538461,52
7,7,0.8437924528301887,53
7,8,0.8903974358974358,156
7,9,0.9506661031276415,1183
7,10,0.9678632943627734,8639
7,11,0.9780303806046003,26563
7,12,0.9704084123149352,32286
7,13,0.970450263839271,30511
7,14,0.9811832979722445,28751
7,15,0.990783432251547,15838
7,16,0.9964733002899093,10693
7,17,0.9944502325581396,7525
7,18,0.9925590730657211,7897
7,19,0.9913509811181045,2701
7,20,0.9951172043010752,930
7,21,0.9984782608695653,92
8,-6,1.0,696
8,7,0.8515625,64
8,8,0.8586206896551725,145
8,9,0.9546851851851852,1134
8,10,0.9644808760024676,9726
8,11,0.9718882131324005,37160
8,12,0.9600883280165133,53290
8,13,0.955756100644835,86999
8,14,0.9708199318657118,135321
8,15,0.9851635849496905,72849
8,16,0.9953455887808859,26954
8,17,0.9935246183863193,17426
8,18,0.9904338635560268,14145
8,19,0.985914899120538,3866
8,20,0.9913095384615385,1625
8,21,0.9972794117647058,136
9,-6,1.0,315
9,8,0.8487356321839081,87
9,9,0.957171464330413,799
9,10,0.9684720596840258,6836
9,11,0.9707185918451793,31417
9,12,0.9564679485632946,41449
9,13,0.9526942155916772,80838
9,14,0.9677865356174177,183239
9,15,0.9837801424489273,140682
9,16,0.9951334887686392,57473
9,17,0.9911942252428956,21923
9,18,0.9913536881419234,21420
9,19,0.9900886282803038,10403
9,20,0.994135003325205,4511
9,21,0.9979656160458453,349
10,-6,1.0,792
10,8,0.8301298701298702,77
10,9,0.9532602739726027,730
10,10,0.9666110152204612,6373
10,11,0.9694111473160693,29155
10,12,0.9477767936451538,39403
10,13,0.9538140909235719,62778
10,14,0.9626858206598764,136177
10,15,0.9777585992437896,141495
10,16,0.9925155798915533,93871
10,17,0.9867210838421795,34064
10,18,0.9862895648041279,29458
10,19,0.9810766409974332,10908
10,20,0.9881463367485017,5173
10,21,0.9936199095022624,442
11,-6,1.0,229
11,8,0.82,43
11,9,0.9402606177606178,518
11,10,0.9615157849829352,4688
11,11,0.9714355145806193,19958
11,12,0.9375919027436985,26898
11,13,0.9476261829055947,52836
11,14,0.9619268734275436,85058
11,15,0.9708085315054046,94825
11,16,0.9875200092435371,99529
11,17,0.9835450251659494,54836
11,18,0.9821320998951056,44807
