scenario,controller,planner,predicate_set,perception,seed,cycles,mean_pdr,p05_pdr,violation_rate_phi,hazard_rate,recovery_cycles,fallback_rate,repair_rate,mean_power_dbm,max_pa_temp_c,mean_reward,h_rf,h_pwr,h_relay,h_part,h_starve,h_therm,dropped
compromised_xapp,shield_repair,naive,loo,radioml,14,300,0.9910790454987943,0.9739994193434081,0.0,0.23,1,0.0,0.474,26.69,38.046963699901475,0.7610790454987943,0.0,0.11666666666666667,0.12333333333333334,0.0,0.0,0.0,phi_bh
compound,shield_repair,naive,loo,radioml,0,300,0.9283545554227481,0.7203887459207433,0.0,0.35333333333333333,1,0.0,0.49533333333333335,27.446666666666665,39.10823578840932,0.5750212220894146,0.0,0.08666666666666667,0.32,0.0,0.0,0.0,phi_bh
compound,shield_repair,naive,loo,radioml,1,300,0.936891902552798,0.8326181994365699,0.0,0.3933333333333333,1,0.0,0.5226666666666666,27.303333333333335,40.00012801877337,0.5435585692194645,0.0,0.05,0.36666666666666664,0.0,0.0,0.0,phi_bh
compound,shield_repair,naive,loo,radioml,2,300,0.9249603322175385,0.7157885803328755,0.013333333333333334,0.4066666666666667,1,0.0,0.49933333333333335,27.61,43.90464139255939,0.518293665550872,0.0,0.07,0.3566666666666667,0.013333333333333334,0.0,0.01,phi_bh
compound,shield_repair,naive,loo,radioml,3,300,0.9148194942448081,0.6057976297655623,0.0033333333333333335,0.38666666666666666,1,0.0,0.51,27.34,39.0012760378314,0.5281528275781415,0.0,0.11666666666666667,0.3233333333333333,0.0033333333333333335,0.0,0.0,phi_bh
compound,shield_repair,naive,loo,radioml,4,300,0.9230641483846803,0.7163591721250863,0.0,0.4166666666666667,2,0.0,0.49533333333333335,27.403333333333332,36.85496261492999,0.5063974817180138,0.0,0.16666666666666666,0.33666666666666667,0.0,0.0,0.0,phi_bh
compound,shield_repair,naive,loo,radioml,5,300,0.9365939563624743,0.7788275670093454,0.0033333333333333335,0.39,1,0.0,0.5153333333333333,27.453333333333333,35.71222266069286,0.5465939563624744,0.0,0.18,0.2966666666666667,0.0033333333333333335,0.0,0.0,phi_bh
compound,shield_repair,naive,loo,radioml,6,300,0.9108505762255314,0.5475610337016567,0.013333333333333334,0.4266666666666667,1,0.0,0.5046666666666667,27.536666666666665,43.974422777191066,0.4841839095588648,0.0,0.15333333333333332,0.33666666666666667,0.013333333333333334,0.0,0.0,phi_bh
compound,shield_repair,naive,loo,radioml,7,300,0.9263617075990601,0.74854347457034,0.0,0.3933333333333333,1,0.0,0.5073333333333333,27.55666666666667,43.7635451230991,0.5330283742657268,0.0,0.14,0.31666666666666665,0.0,0.0,0.0,phi_bh
compound,shield_repair,naive,loo,radioml,8,300,0.9208331130347734,0.6910988034793645,0.01,0.44333333333333336,2,0.0,0.5273333333333333,27.513333333333332,42.12189985060933,0.47749977970144014,0.0,0.19666666666666666,0.33666666666666667,0.01,0.0,0.0,phi_bh
compound,shield_repair,naive,loo,radioml,9,300,0.9252580176862235,0.7636091855630753,0.0,0.41333333333333333,1,0.0,0.5153333333333333,27.413333333333334,39.44458458974039,0.5119246843528902,0.0,0.12333333333333334,0.37666666666666665,0.0,0.0,0.0,phi_bh
compound,shield_repair,naive,loo,radioml,10,300,0.9239696548391726,0.716811117135756,0.0033333333333333335,0.4066666666666667,1,0.0,0.524,27.426666666666666,39.816794926923606,0.5173029881725058,0.0,0.1,0.33,0.0033333333333333335,0.0,0.0,phi_bh
compound,shield_repair,naive,loo,radioml,11,300,0.9315210784201633,0.7167008228417098,0.0033333333333333335,0.44,1,0.0,0.49266666666666664,27.45,45.27569037296361,0.4915210784201635,0.0,0.13,0.36333333333333334,0.0033333333333333335,0.0,0.0,phi_bh
compound,shield_repair,naive,loo,radioml,12,300,0.9148373566923309,0.6783310956459605,0.0033333333333333335,0.35,1,0.0,0.49266666666666664,27.45,42.17735523472682,0.5648373566923307,0.0,0.07333333333333333,0.2866666666666667,0.0033333333333333335,0.0,0.0,phi_bh
