scenario,controller,planner,predicate_set,perception,seed,cycles,mean_pdr,p05_pdr,violation_rate_phi,hazard_rate,recovery_cycles,fallback_rate,repair_rate,mean_power_dbm,max_pa_temp_c,mean_reward,h_rf,h_pwr,h_relay,h_part,compliant_available_rate,h_starve,h_therm,ceiling_dbm
bursty,shield_repair,adaptive,phi,radioml,8,300,0.9609680056356938,0.8768737367407772,0.0,0.0,1,0.0,0.0,22.6,35.0,0.9609680056356938,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,9,300,0.9648185770908264,0.899276358066169,0.0,0.0,2,0.0,0.0,22.73,35.0,0.9648185770908264,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,10,300,0.9661761395427066,0.8903119173781721,0.0,0.0,2,0.0,0.0,22.64,35.0,0.9661761395427066,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,11,300,0.96597024746027,0.9100957368403148,0.0,0.0,2,0.0,0.0,22.67,35.0,0.96597024746027,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,12,300,0.9553495915905491,0.8349425687998273,0.0,0.0,3,0.0,0.0,22.71,35.0,0.9553495915905491,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,13,300,0.9644341022438175,0.9101707828954836,0.0,0.0,1,0.0,0.0,22.62,35.0,0.9644341022438175,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,14,300,0.9684192662187467,0.9139016296765712,0.0,0.0,1,0.0,0.0,22.64,35.0,0.9684192662187467,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,15,300,0.9700535556653358,0.9068647351420533,0.0,0.0,1,0.0,0.0,22.72,35.0,0.9700535556653358,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,16,300,0.9593093425420822,0.8581779491123833,0.0,0.0,1,0.0,0.0,22.69,35.0,0.9593093425420822,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,17,300,0.9609612339546935,0.8896878316522204,0.0,0.0,1,0.0,0.0,22.61,35.0,0.9609612339546935,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,18,300,0.9631196097648321,0.9150103115201095,0.0,0.0,1,0.0,0.0,22.71,35.0,0.9631196097648321,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,19,300,0.9638111668655438,0.9121597982095992,0.0,0.0,1,0.0,0.0,22.62,35.0,0.9638111668655438,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,20,300,0.9560560475201442,0.8384447136857738,0.0,0.0,4,0.0,0.0,22.67,35.0,0.9560560475201442,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,21,300,0.9574364807869119,0.8657488226994016,0.0,0.0,3,0.0,0.0,22.67,35.0,0.9574364807869119,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,22,300,0.9536520612374001,0.8210507758482094,0.0,0.0,2,0.0,0.0,22.65,35.0,0.9536520612374001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,23,300,0.9548974700202116,0.8285165189128829,0.0,0.0,4,0.0,0.0,22.67,35.0,0.9548974700202116,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,24,300,0.9603314867224719,0.8581498305563563,0.0,0.0,2,0.0,0.0,22.69,35.0,0.9603314867224719,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,25,300,0.9601932617869977,0.8831825044496849,0.0,0.0,1,0.0,0.0,22.67,35.0,0.9601932617869977,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,26,300,0.9532746247330588,0.8401653909668104,0.0,0.0,1,0.0,0.0,22.71,35.0,0.9532746247330588,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,27,300,0.9531669794997635,0.8376749139784909,0.0,0.0,1,0.0,0.0,22.63,35.0,0.9531669794997635,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,28,300,0.9623509291499287,0.8922979175785698,0.0,0.0,1,0.0,0.0,22.66,35.0,0.9623509291499287,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
bursty,shield_repair,adaptive,phi,radioml,29,300,0.9558392598252785,0.8154662284965783,0.0,0.0,5,0.0,0.0,22.69,35.0,0.9558392598252785,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
backhaul,shield_repair,adaptive,phi,radioml,0,300,0.9478782561655771,0.895202250095493,0.0,0.0,2,0.0,0.0,22.7,35.0,0.9478782561655771,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
backhaul,shield_repair,adaptive,phi,radioml,1,300,0.9506424365391202,0.8941704991738657,0.0,0.0,1,0.0,0.0,22.68,35.0,0.9506424365391202,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
backhaul,shield_repair,adaptive,phi,radioml,2,300,0.9481137313649947,0.8954822977603103,0.0,0.0,1,0.0,0.0,22.75,35.0,0.9481137313649947,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
backhaul,shield_repair,adaptive,phi,radioml,3,300,0.9505799253529028,0.8956183489519749,0.0,0.0,1,0.0,0.0,22.74,35.0,0.9505799253529028,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
backhaul,shield_repair,adaptive,phi,radioml,4,300,0.9479137770111279,0.8951808968833552,0.0,0.0,3,0.0,0.0,22.73,35.0,0.9479137770111279,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
backhaul,shield_repair,adaptive,phi,radioml,5,300,0.9488525854658018,0.8946617690434103,0.0,0.0,1,0.0,0.0,22.74,35.0,0.9488525854658018,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
backhaul,shield_repair,adaptive,phi,radioml,6,300,0.9507475114532282,0.8953394809366608,0.0,0.0,1,0.0,0.0,22.68,35.0,0.9507475114532282,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
backhaul,shield_repair,adaptive,phi,radioml,7,300,0.9490564058378178,0.8951573350360578,0.0,0.0,1,0.0,0.0,22.74,35.0,0.9490564058378178,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
backhaul,shield_repair,adaptive,phi,radioml,8,300,0.9447198932965638,0.8951058549283588,0.0,0.0,1,0.0,0.0,22.7,35.0,0.9447198932965638,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
backhaul,shield_repair,adaptive,phi,radioml,9,300,0.9489728194838212,0.8951715687320485,0.0,0.0,1,0.0,0.0,22.72,35.0,0.9489728194838212,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
backhaul,shield_repair,adaptive,phi,radioml,10,300,0.9478189005802768,0.8954751915990166,0.0,0.0,1,0.0,0.0,22.74,35.0,0.9478189005802768,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
backhaul,shield_repair,adaptive,phi,radioml,11,300,0.9463901293158081,0.8953744510040654,0.0,0.0,1,0.0,0.0,22.76,35.0,0.9463901293158081,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
backhaul,shield_repair,adaptive,phi,radioml,12,300,0.9507849351894775,0.8955135945754771,0.0,0.0,1,0.0,0.0,22.75,35.0,0.9507849351894775,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
backhaul,shield_repair,adaptive,phi,radioml,13,300,0.9504186724703756,0.8949867133232716,0.0,0.0,1,0.0,0.0,22.74,35.0,0.9504186724703756,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
backhaul,shield_repair,adaptive,phi,radioml,14,300,0.9478989082552958,0.8954228321656905,0.0,0.0,1,0.0,0.0,22.73,35.0,0.9478989082552958,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
backhaul,shield_repair,adaptive,phi,radioml,15,300,0.9510812765330673,0.8953904400923441,0.0,0.0,1,0.0,0.0,22.72,35.0,0.9510812765330673,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
backhaul,shield_repair,adaptive,phi,radioml,16,300,0.9455608768986868,0.8911434368467951,0.0,0.0,1,0.0,0.0,22.8,35.0,0.9455608768986868,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
backhaul,shield_repair,adaptive,phi,radioml,17,300,0.9478764167415527,0.895551429481056,0.0,0.0,2,0.0,0.0,22.78,35.0,0.9478764167415527,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
backhaul,shield_repair,adaptive,phi,radioml,18,300,0.9475841542172926,0.8949663323679253,0.0,0.0,1,0.0,0.0,22.75,35.0,0.9475841542172926,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
backhaul,shield_repair,adaptive,phi,radioml,19,300,0.9514932900370741,0.8953508342018215,0.0,0.0,2,0.0,0.0,22.66,35.0,0.9514932900370741,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
backhaul,shield_repair,adaptive,phi,radioml,20,300,0.9505088272739132,0.8954413232980221,0.0,0.0,1,0.0,0.0,22.76,35.0,0.9505088272739132,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
