scenario,controller,planner,predicate_set,perception,seed,cycles,mean_pdr,p05_pdr,violation_rate_phi,hazard_rate,recovery_cycles,fallback_rate,repair_rate,mean_power_dbm,max_pa_temp_c,mean_reward,h_rf,h_pwr,h_relay,h_part,h_starve,h_therm,twin
backhaul,shield_repair,naive,phi,radioml,20,300,0.9585467223529842,0.9139393456914562,0.0,0.06333333333333334,1,0.0,0.3993333333333333,25.79,42.57665726987363,0.8952133890196509,0.0,0.06333333333333334,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,21,300,0.9535336139437546,0.8960684342216615,0.0,0.07666666666666666,1,0.0,0.3953333333333333,25.993333333333332,40.97305099075422,0.8768669472770879,0.0,0.07666666666666666,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,22,300,0.9603749725010584,0.9072387363361253,0.0,0.10666666666666667,1,0.0,0.402,25.836666666666666,42.689290915008826,0.8537083058343917,0.0,0.10666666666666667,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,23,300,0.9575731936633846,0.8960798667171036,0.0,0.07,1,0.0,0.408,25.843333333333334,40.018436294085646,0.8875731936633845,0.0,0.07,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,24,300,0.958642876471139,0.9139613274319333,0.0,0.06666666666666667,1,0.0,0.39066666666666666,26.136666666666667,40.247665466474864,0.8919762098044723,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,25,300,0.9605135849879098,0.9139655246444975,0.0,0.08666666666666667,1,0.0,0.4033333333333333,25.95,42.41280131096845,0.8738469183212433,0.0,0.08666666666666667,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,26,300,0.9546792073882138,0.8960799624212619,0.0,0.07666666666666666,1,0.0,0.3953333333333333,26.033333333333335,40.05303064334451,0.8780125407215471,0.0,0.07666666666666666,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,27,300,0.9590757579867977,0.9078862655161967,0.0,0.05,1,0.0,0.4126666666666667,25.64,41.76110985042408,0.9090757579867977,0.0,0.05,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,28,300,0.955210299895355,0.9137256623460585,0.0,0.04666666666666667,1,0.0,0.3993333333333333,26.016666666666666,44.87871335547985,0.9085436332286884,0.0,0.04666666666666667,0.0,0.0,0.0,0.0,label_as_truth
backhaul,shield_repair,naive,phi,radioml,29,300,0.9576304574150515,0.9138434031546953,0.0,0.056666666666666664,1,0.0,0.39,25.91,39.788734488721836,0.9009637907483848,0.0,0.056666666666666664,0.0,0.0,0.0,0.0,label_as_truth
compromised_xapp,greedy_twin,naive,phi,radioml,0,300,0.9906882819054544,0.973999999679456,0.39666666666666667,0.49666666666666665,1,0.0,0.0,27.8,44.63449761679281,0.4940216152387878,0.13333333333333333,0.19333333333333333,0.14333333333333334,0.0,0.0,0.19666666666666666,label_as_truth
