scenario,controller,planner,predicate_set,perception,seed,cycles,mean_pdr,p05_pdr,violation_rate_phi,hazard_rate,recovery_cycles,fallback_rate,repair_rate,mean_power_dbm,max_pa_temp_c,mean_reward,h_rf,h_pwr,h_relay,h_part,compliant_available_rate,h_starve,h_therm,atk_predicate_set
bursty,greedy_twin,adaptive,phi_plus,radioml,14,300,0.9800771638623401,0.9738090292735166,0.8133333333333334,0.12666666666666668,1,0.0,0.0,28.006666666666668,52.427479455334726,0.8534104971956733,0.0,0.09,0.0,0.0,0.68,0.0,0.04,phi
bursty,greedy_twin,adaptive,phi_plus,radioml,15,300,0.984032521259677,0.9739192746773255,0.8166666666666667,0.08333333333333333,1,0.0,0.0,27.933333333333334,50.61554217778774,0.9006991879263436,0.0,0.07333333333333333,0.0,0.0,0.7166666666666667,0.0,0.01,phi
bursty,greedy_twin,adaptive,phi_plus,radioml,16,300,0.9829006605765597,0.9738415669166898,0.7733333333333333,0.15,1,0.0,0.0,27.92,49.673302774466805,0.8329006605765596,0.0,0.12333333333333334,0.0,0.0,0.6533333333333333,0.0,0.02666666666666667,phi
bursty,greedy_twin,adaptive,phi_plus,radioml,17,300,0.9836477147549564,0.9737442082170948,0.8466666666666667,0.16666666666666666,1,0.0,0.0,28.1,52.13385581038544,0.8169810480882896,0.0,0.12333333333333334,0.0,0.0,0.63,0.0,0.05333333333333334,phi
bursty,greedy_twin,adaptive,phi_plus,radioml,18,300,0.9769449907082898,0.9737086296329208,0.8333333333333334,0.18,1,0.0,0.0,28.04,47.280606092114134,0.7969449907082897,0.0,0.17,0.0,0.0,0.61,0.0,0.013333333333333334,phi
bursty,greedy_twin,adaptive,phi_plus,radioml,19,300,0.9828362469586136,0.9737491887230916,0.8366666666666667,0.13333333333333333,1,0.0,0.0,28.016666666666666,48.090121055683746,0.8495029136252803,0.0,0.1,0.0,0.0,0.6633333333333333,0.0,0.03333333333333333,phi
bursty,greedy_twin,adaptive,phi_plus,radioml,20,300,0.9826927238956796,0.9738169015466696,0.83,0.18333333333333332,2,0.0,0.0,28.073333333333334,50.66009023171315,0.7993593905623463,0.0,0.17666666666666667,0.0,0.0,0.6566666666666666,0.0,0.006666666666666667,phi
bursty,greedy_twin,adaptive,phi_plus,radioml,21,300,0.9791423503916618,0.973446046332365,0.81,0.14333333333333334,1,0.0,0.0,27.883333333333333,49.42678974568423,0.8358090170583283,0.0,0.12666666666666668,0.0,0.0,0.65,0.0,0.016666666666666666,phi
bursty,greedy_twin,adaptive,phi_plus,radioml,22,300,0.9778160654428893,0.9736856153054466,0.8033333333333333,0.2633333333333333,1,0.0,0.0,27.976666666666667,47.58556360457303,0.714482732109556,0.0,0.25,0.0,0.0,0.6866666666666666,0.0,0.02,phi
bursty,greedy_twin,adaptive,phi_plus,radioml,23,300,0.982527112896845,0.9735670669476163,0.8,0.15,1,0.0,0.0,28.023333333333333,48.08224897493372,0.8325271128968451,0.0,0.10666666666666667,0.0,0.0,0.68,0.0,0.04666666666666667,phi
