scenario,controller,planner,predicate_set,perception,seed,cycles,mean_pdr,p05_pdr,violation_rate_phi,hazard_rate,recovery_cycles,fallback_rate,repair_rate,mean_power_dbm,max_pa_temp_c,mean_reward,h_rf,h_pwr,h_relay,h_part,h_starve,h_therm,bler_slope
wideband,greedy_twin,naive,phi,radioml,7,300,0.8381617913089169,0.47924878995688974,0.5,0.9133333333333333,3,0.0,0.0,30.743333333333332,53.73683977411828,-0.07517154202441653,0.14,0.4866666666666667,0.08333333333333333,0.0,0.0,0.8766666666666667,0.5
wideband,greedy_twin,naive,phi,radioml,8,300,0.8362285528032548,0.4462625170422279,0.45666666666666667,0.8766666666666667,1,0.0,0.0,30.55,52.93058072406771,-0.040438113863411916,0.08333333333333333,0.5,0.12,0.0,0.0,0.82,0.5
wideband,greedy_twin,naive,phi,radioml,9,300,0.8182204727049321,0.4367842790270148,0.49333333333333335,0.92,3,0.0,0.0,30.866666666666667,58.927576846058145,-0.10177952729506788,0.11333333333333333,0.49333333333333335,0.12333333333333334,0.0,0.0,0.8733333333333333,0.5
wideband,shield_filter,naive,phi,radioml,0,300,0.7336958759969988,0.14410329005559636,0.0,0.23333333333333334,7,0.0033333333333333335,0.0,27.18,39.10160243720121,0.5003625426636654,0.0,0.23333333333333334,0.0,0.0,0.0,0.0,0.5
wideband,shield_filter,naive,phi,radioml,1,300,0.7333532794088418,0.0877301598772935,0.0,0.18666666666666668,3,0.0,0.0,27.02,39.90166059924348,0.5466866127421751,0.0,0.18666666666666668,0.0,0.0,0.0,0.0,0.5
wideband,shield_filter,naive,phi,radioml,2,300,0.7359304345748829,0.05823821558950187,0.0,0.15333333333333332,1,0.0,0.0,27.0,39.62790004302565,0.5825971012415496,0.0,0.15333333333333332,0.0,0.0,0.0,0.0,0.5
wideband,shield_filter,naive,phi,radioml,3,300,0.7383487748707962,0.04921836528683516,0.0,0.17333333333333334,3,0.0033333333333333335,0.0,27.15,40.07577891585744,0.565015441537463,0.0,0.17333333333333334,0.0,0.0,0.0,0.0,0.5
wideband,shield_filter,naive,phi,radioml,4,300,0.7293909179937837,0.06928527361155139,0.0,0.15333333333333332,6,0.0033333333333333335,0.0,27.13,42.45764657282669,0.5760575846604503,0.0,0.15333333333333332,0.0,0.0,0.0,0.0,0.5
wideband,shield_filter,naive,phi,radioml,5,300,0.7300231551171157,0.06616711668082224,0.0,0.14666666666666667,1,0.0,0.0,27.0,39.5072094467272,0.5833564884504491,0.0,0.14666666666666667,0.0,0.0,0.0,0.0,0.5
wideband,shield_filter,naive,phi,radioml,6,300,0.729450118485967,0.07611962869054968,0.0,0.11666666666666667,5,0.0,0.0,27.11,41.48888733281723,0.6127834518193004,0.0,0.11666666666666667,0.0,0.0,0.0,0.0,0.5
wideband,shield_filter,naive,phi,radioml,7,300,0.7354171398433295,0.07381818588038967,0.0,0.13666666666666666,7,0.0033333333333333335,0.0,27.12,42.99559973682238,0.5987504731766627,0.0,0.13666666666666666,0.0,0.0,0.0,0.0,0.5
wideband,shield_filter,naive,phi,radioml,8,300,0.7170298613990332,0.06125369248264882,0.0,0.16333333333333333,12,0.006666666666666667,0.0,27.01,42.6298514369559,0.5536965280656998,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.5
wideband,shield_filter,naive,phi,radioml,9,300,0.7000483238276649,0.058763360651347366,0.0,0.11333333333333333,3,0.0033333333333333335,0.0,26.96,45.40230698636763,0.5867149904943316,0.0,0.11,0.0,0.0,0.0033333333333333335,0.0,0.5
