condition,scenario,controller,seed,cycles,mean_pdr,p95_latency_proxy,safety_violations,violation_rate,recovery_cycles,rollbacks,admitted_actions,total_proposals,mean_reward
radioml,wideband,shield_ric,8,300,0.8329908870225745,286.2745662873863,0,0.0,2,4,296,1500,0.3717908870225745
radioml,wideband,shield_ric,9,300,0.8322215377543789,46.52476527314338,0,0.0,1,4,296,1500,0.3738215377543789
radioml,bursty,static,0,300,0.9986373710741983,1.0070739486313713,0,0.0,1,0,0,0,0.5386373710741983
radioml,bursty,static,1,300,0.998597540098454,1.006810278984802,0,0.0,1,0,0,0,0.5385975400984541
radioml,bursty,static,2,300,0.9982631961737426,1.0091050824694976,0,0.0,1,0,0,0,0.5382631961737425
radioml,bursty,static,3,300,0.9983182051674625,1.008864614050385,0,0.0,1,0,0,0,0.5383182051674625
radioml,bursty,static,4,300,0.9980456212791193,1.0069434185745503,0,0.0,1,0,0,0,0.5380456212791193
radioml,bursty,static,5,300,0.9987609347296083,1.0075820175133157,0,0.0,1,0,0,0,0.5387609347296082
radioml,bursty,static,6,300,0.9986857497800431,1.0082980394746819,0,0.0,1,0,0,0,0.538685749780043
radioml,bursty,static,7,300,0.9984826449255284,1.0096915070016599,0,0.0,1,0,0,0,0.5384826449255283
radioml,bursty,static,8,300,0.9987322948434549,1.008544826489019,0,0.0,1,0,0,0,0.5387322948434549
radioml,bursty,static,9,300,0.9987176528020116,1.005702057573173,0,0.0,1,0,0,0,0.5387176528020117
radioml,bursty,heuristic,0,300,0.9999713770807864,0.9991368507651692,0,0.0,1,0,0,0,0.5399713770807864
radioml,bursty,heuristic,1,300,0.9999715490735472,0.9991303271121353,0,0.0,1,0,0,0,0.539971549073547
radioml,bursty,heuristic,2,300,0.9999138778876446,0.9991525170703786,0,0.0,1,0,0,0,0.5399138778876447
radioml,bursty,heuristic,3,300,0.9999724073286405,0.9991489110371733,0,0.0,1,0,0,0,0.5399724073286403
radioml,bursty,heuristic,4,300,0.9993730525327711,0.9991201011745205,0,0.0,1,0,0,0,0.5393730525327711
radioml,bursty,heuristic,5,300,0.9999794512342763,0.9991296776048523,0,0.0,1,0,0,0,0.5399794512342765
radioml,bursty,heuristic,6,300,0.9999467578621625,0.9991528201301766,0,0.0,1,0,0,0,0.5399467578621625
radioml,bursty,heuristic,7,300,0.9999645485417219,0.9991639540023515,0,0.0,1,0,0,0,0.5399645485417219
radioml,bursty,heuristic,8,300,0.9999253674012315,0.9991504493072344,0,0.0,1,0,0,0,0.5399253674012315
radioml,bursty,heuristic,9,300,0.9999784620167705,0.9991014859184238,0,0.0,1,0,0,0,0.5399784620167705
radioml,bursty,rl,0,300,0.9673575793117789,1.0592446450200532,75,0.25,1,0,300,1500,0.24369091264511222
radioml,bursty,rl,1,300,0.9744991364830632,1.0312559365961156,73,0.24333333333333335,1,0,300,1500,0.2535658031497298
radioml,bursty,rl,2,300,0.9674751772833794,1.0235942539651204,80,0.26666666666666666,1,0,300,1500,0.2288751772833794
radioml,bursty,rl,3,300,0.9574421081253676,1.4918961520467628,74,0.24666666666666667,1,0,300,1500,0.23690877479203426
radioml,bursty,rl,4,300,0.9744879971515575,1.0353767442162494,76,0.25333333333333335,1,0,300,1500,0.250221330484891
radioml,bursty,rl,5,300,0.9568773911577908,1.678059539263925,79,0.2633333333333333,1,0,300,1500,0.20801072449112393
radioml,bursty,rl,6,300,0.947355061025721,2.7207207550378967,75,0.25,1,0,300,1500,0.2125550610257208
radioml,bursty,rl,7,300,0.9568225812562203,1.6071306108792334,86,0.2866666666666667,1,0,300,1500,0.19528924792288704
radioml,bursty,rl,8,300,0.9563410921431366,1.7438606167387838,78,0.26,1,0,300,1500,0.22260775880980319
radioml,bursty,rl,9,300,0.9519833050448957,2.3778620248015456,69,0.23,3,0,300,1500,0.24944997171156222
